iter	Logloss
0	0.6903245106
1	0.6882208487
2	0.6862349186
3	0.6846487231
4	0.683174593
5	0.6819515688
6	0.6808666359
7	0.6798130167
8	0.6790311978
9	0.6782427316
10	0.6775189364
11	0.6766803196
12	0.6759988389
13	0.6754266397
14	0.6746905957
15	0.6740704905
16	0.6735219902
17	0.6729807712
18	0.6722987846
19	0.6719328624
20	0.6714912093
21	0.6708091071
22	0.6702024002
23	0.6696134814
24	0.6690057383
25	0.6683983023
26	0.6678103136
27	0.6672102771
28	0.6666063111
29	0.666005393
30	0.6653355062
31	0.6649419352
32	0.6644938621
33	0.6642095466
34	0.6637440521
35	0.6631657258
36	0.6628286438
37	0.6625399117
38	0.6622039892
39	0.661624022
40	0.6611018425
41	0.6607217945
42	0.6602972478
43	0.6597903417
44	0.6594098039
45	0.6589567548
46	0.6583716563
47	0.6580743649
48	0.6575360449
49	0.6571280557
50	0.6566555797
51	0.6560684832
52	0.6555510365
53	0.6550505158
54	0.6544990877
55	0.6539769547
56	0.6535975945
57	0.653099783
58	0.6527836836
59	0.652537849
60	0.6519329798
61	0.6516108706
62	0.6513130456
63	0.651023624
64	0.6506069477
65	0.6501817081
66	0.6499160868
67	0.649430554
68	0.6489587639
69	0.6485700505
70	0.6478367336
71	0.647292628
72	0.6467147762
73	0.6461299317
74	0.6456777031
75	0.6451405135
76	0.6444579577
77	0.6442248211
78	0.6439237375
79	0.6435125
80	0.6431011019
81	0.6426196375
82	0.6421495641
83	0.6416875542
84	0.6413087215
85	0.6409882646
86	0.6407080342
87	0.6401833962
88	0.639605156
89	0.6393220197
90	0.6388580406
91	0.6383501482
92	0.6379643629
93	0.6375536022
94	0.6373127272
95	0.6368869355
96	0.6364802372
97	0.6361437792
98	0.635833728
99	0.6352953078
100	0.6347753638
101	0.6344630534
102	0.6341742679
103	0.6338396087
104	0.6334001802
105	0.6331040067
106	0.6328435784
107	0.6323782006
108	0.6318938899
109	0.6314642235
110	0.6308789554
111	0.6304934341
112	0.6301286153
113	0.6296866014
114	0.6292515591
115	0.6288102287
116	0.6284594497
117	0.6279846144
118	0.6274198079
119	0.6272081303
120	0.626600567
121	0.6261507168
122	0.6258764131
123	0.6256800118
124	0.6254710537
125	0.6252270362
126	0.6248481071
127	0.6245243178
128	0.6241018713
129	0.6235622164
130	0.6232950021
131	0.6230444515
132	0.6226034602
133	0.6221696881
134	0.6218619407
135	0.6215239707
136	0.621029899
137	0.6206187432
138	0.6200692036
139	0.6200277811
140	0.6197676348
141	0.6193420476
142	0.6191434298
143	0.6187525165
144	0.6183394507
145	0.6180808673
146	0.6178450646
147	0.6173708491
148	0.616948014
149	0.6167122412
150	0.6162586201
151	0.6159238154
152	0.6153574596
153	0.6150692741
154	0.6146867003
155	0.6142415154
156	0.613809496
157	0.6132932155
158	0.6128101843
159	0.6123833816
160	0.6120245621
161	0.6114721893
162	0.6110322506
163	0.6105113789
164	0.6101776528
165	0.6095717577
166	0.6092107897
167	0.6086408541
168	0.6082559829
169	0.6080314833
170	0.6074821385
171	0.6070734285
172	0.6066210782
173	0.6060955177
174	0.6056301589
175	0.6051191261
176	0.604595073
177	0.6040889247
178	0.6036191472
179	0.6031358803
180	0.6027386687
181	0.6022739239
182	0.6017879389
183	0.6011897821
