iter	Passed	Remaining
0	2	2275
1	5	2117
2	7	2032
3	9	1962
4	12	1934
5	14	1911
6	16	1920
7	19	1909
8	21	1894
9	23	1872
10	26	1879
11	28	1871
12	30	1859
13	32	1851
14	35	1854
15	37	1854
16	40	1848
17	42	1835
18	44	1823
19	46	1812
20	49	1831
21	51	1826
22	53	1817
23	56	1826
24	59	1835
25	61	1825
26	63	1825
27	66	1828
28	68	1820
29	70	1816
30	73	1811
31	75	1812
32	77	1806
33	80	1807
34	82	1809
35	85	1805
36	87	1802
37	89	1799
38	92	1796
39	94	1793
40	96	1791
41	99	1788
42	101	1786
43	104	1786
44	106	1784
45	109	1792
46	111	1785
47	114	1787
48	116	1785
49	118	1784
50	121	1782
51	123	1780
52	125	1775
53	128	1770
54	130	1770
55	133	1776
56	135	1772
57	138	1771
58	140	1768
59	143	1767
60	145	1761
61	147	1759
62	150	1756
63	152	1752
64	154	1750
65	157	1746
66	159	1743
67	161	1739
68	164	1739
69	166	1734
70	168	1729
71	170	1726
72	172	1722
73	175	1718
74	177	1714
75	179	1711
76	182	1708
77	184	1704
78	186	1701
79	188	1699
80	192	1704
81	194	1703
82	196	1700
83	198	1695
84	201	1698
85	204	1697
86	208	1706
87	210	1705
88	213	1703
89	215	1698
90	217	1695
91	219	1692
92	222	1692
93	225	1690
94	227	1689
95	230	1687
96	232	1682
97	234	1682
98	237	1684
99	240	1682
100	242	1680
101	245	1682
102	248	1680
103	250	1679
104	253	1679
105	256	1676
106	258	1673
107	260	1671
108	263	1673
109	266	1669
110	268	1667
111	271	1665
112	273	1661
113	275	1658
114	278	1656
115	280	1653
116	282	1650
117	285	1648
118	287	1644
119	289	1641
120	292	1638
121	294	1635
122	296	1633
123	298	1629
124	301	1626
125	303	1623
126	306	1621
127	308	1618
128	310	1616
129	313	1613
130	315	1610
131	317	1606
132	319	1604
133	322	1601
134	324	1597
135	326	1596
136	329	1593
137	331	1590
138	333	1585
139	335	1582
140	338	1579
141	340	1576
142	342	1574
143	345	1571
144	347	1569
145	349	1566
146	352	1564
147	354	1561
148	356	1558
149	359	1557
150	361	1554
151	364	1552
152	366	1549
153	368	1546
154	371	1544
155	373	1542
156	376	1540
157	378	1536
158	380	1533
159	382	1531
160	385	1528
161	387	1525
162	389	1522
163	391	1519
164	394	1517
165	396	1513
166	398	1511
167	401	1509
168	403	1506
169	405	1503
170	408	1501
171	411	1500
172	413	1497
173	416	1497
174	418	1494
175	420	1492
176	423	1488
177	425	1486
178	427	1483
179	429	1480
180	432	1478
181	434	1475
182	436	1472
183	439	1469
184	441	1467
185	444	1467
186	446	1464
187	449	1462
188	451	1459
189	453	1456
190	456	1454
191	458	1452
192	460	1449
193	463	1447
194	465	1445
195	468	1443
196	471	1442
197	473	1440
198	476	1438
199	478	1435
200	481	1434
201	483	1432
202	486	1429
203	488	1427
204	490	1424
205	493	1422
206	495	1420
207	498	1418
208	501	1419
209	504	1416
210	506	1414
211	509	1411
212	511	1409
213	513	1407
214	516	1405
215	519	1404
216	521	1402
217	524	1399
218	526	1397
219	529	1396
220	532	1395
221	536	1395
222	538	1394
223	541	1392
224	544	1390
225	546	1388
226	549	1386
227	552	1385
228	554	1383
229	557	1380
230	559	1378
231	561	1375
232	564	1373
233	566	1371
234	569	1368
235	571	1366
236	574	1363
237	576	1360
238	578	1358
239	581	1356
240	583	1353
241	586	1351
242	588	1348
243	590	1346
244	593	1344
245	595	1341
246	598	1339
247	600	1336
248	602	1333
249	604	1330
250	606	1327
251	609	1325
252	611	1322
253	614	1320
254	616	1318
255	619	1315
256	621	1312
257	623	1309
258	626	1307
259	628	1305
260	630	1302
