iter	Passed	Remaining
0	62	35843
1	63	18265
2	70	13588
3	84	12139
4	91	10541
5	98	9417
6	103	8469
7	112	8057
8	120	7616
9	126	7216
10	135	6979
11	146	6913
12	155	6759
13	162	6558
14	170	6395
15	178	6271
16	187	6204
17	196	6136
18	199	5869
19	204	5722
20	210	5596
21	216	5484
22	225	5455
23	243	5621
24	252	5601
25	262	5592
26	273	5600
27	284	5605
28	312	5935
29	334	6126
30	343	6080
31	357	6117
32	368	6097
33	374	6005
34	383	5959
35	392	5925
36	402	5901
37	410	5846
38	418	5788
39	426	5750
40	436	5721
41	444	5683
42	453	5647
43	459	5587
44	468	5555
45	476	5524
46	482	5465
47	490	5421
48	498	5390
49	509	5391
50	519	5382
51	526	5332
52	535	5317
53	543	5281
54	550	5241
55	557	5208
56	566	5187
57	575	5170
58	582	5132
59	592	5126
60	599	5094
61	609	5083
62	617	5058
63	625	5034
64	634	5014
65	640	4978
66	648	4956
67	656	4936
68	664	4909
69	671	4884
70	679	4861
71	688	4849
72	696	4829
73	708	4831
74	714	4804
75	722	4782
76	729	4753
77	737	4739
78	744	4709
79	751	4689
80	758	4662
81	764	4633
82	768	4594
83	774	4566
84	782	4545
85	790	4528
86	799	4521
87	808	4513
88	814	4486
89	819	4455
90	824	4423
91	831	4399
92	837	4378
93	845	4359
94	858	4374
95	870	4381
96	878	4365
97	886	4352
98	895	4340
99	902	4324
100	911	4312
101	920	4304
102	928	4290
103	935	4270
104	939	4241
105	947	4226
106	953	4208
107	960	4190
108	965	4164
109	972	4144
110	978	4125
111	987	4118
112	995	4107
113	1001	4084
114	1007	4066
115	1013	4046
116	1022	4036
117	1028	4018
118	1033	3996
119	1039	3977
120	1045	3957
121	1052	3941
122	1060	3932
123	1068	3920
124	1074	3902
125	1079	3881
126	1088	3874
127	1094	3857
128	1100	3838
129	1106	3820
130	1111	3801
131	1117	3785
132	1122	3763
133	1128	3746
134	1134	3732
135	1139	3713
136	1145	3695
137	1152	3682
138	1154	3654
139	1159	3636
140	1166	3623
141	1172	3608
142	1178	3593
143	1184	3577
144	1189	3561
145	1195	3546
146	1201	3532
147	1209	3521
148	1214	3504
149	1221	3492
150	1226	3475
151	1231	3460
152	1236	3441
153	1243	3432
154	1252	3425
155	1258	3413
156	1264	3399
157	1270	3384
158	1275	3369
159	1280	3354
160	1286	3339
161	1293	3329
162	1300	3318
163	1308	3311
164	1316	3302
165	1323	3293
166	1330	3283
167	1337	3271
168	1343	3258
169	1350	3248
170	1357	3237
171	1365	3231
172	1373	3222
173	1380	3212
174	1386	3200
175	1391	3187
176	1397	3173
177	1401	3157
178	1407	3144
179	1413	3134
180	1418	3119
181	1424	3106
182	1431	3098
183	1437	3085
184	1445	3078
185	1452	3069
186	1458	3056
187	1466	3049
188	1482	3059
189	1488	3048
190	1493	3033
191	1499	3023
192	1506	3013
193	1511	2998
